
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       4.64
16                      5.73
32                      4.79
64                      5.87
128                     5.63
256                     7.17
512                    12.16
1024                   15.26
2048                   21.88
4096                   36.72
8192                   69.19
16384                 140.87
32768                 285.49
65536                 597.43
131072               1190.70
262144               2452.31
524288               4548.26
1048576              9319.90
2097152             19465.98
4194304             38626.65
8388608             77362.01
16777216           154304.60
33554432           308690.91
67108864           617537.57
