
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      21.22
16                     20.13
32                     19.26
64                     19.71
128                    18.73
256                    20.13
512                    22.15
1024                   25.26
2048                   29.38
4096                   39.03
8192                   42.64
16384                  51.19
32768                  67.32
65536                  99.50
131072                167.24
262144                323.59
524288                611.44
1048576              1156.32
2097152              3850.23
4194304             14007.27
8388608             35229.42
16777216            66490.94
33554432           128689.46
67108864           249318.48
