
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       4.38
16                      4.59
32                      4.70
64                      4.75
128                     5.46
256                     7.13
512                    10.18
1024                   13.83
2048                   20.57
4096                   36.25
8192                   68.17
16384                 139.93
32768                 285.08
65536                 567.02
131072               1147.67
262144               2330.60
524288               4659.78
1048576              9122.90
2097152             19506.71
4194304             39311.79
8388608             78579.20
16777216           157689.38
33554432           315175.75
67108864           630587.59
