
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       4.68
16                      4.75
32                      4.81
64                      4.86
128                     5.50
256                     6.09
512                     9.70
1024                   15.39
2048                   22.21
4096                   36.37
8192                   68.32
16384                 140.08
32768                 283.89
65536                 568.11
131072               1164.49
262144               2406.91
524288               4919.47
1048576              9020.56
2097152             19246.48
4194304             38462.09
8388608             76650.10
16777216           153327.53
33554432           305939.34
67108864           614207.05
