
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       4.68
16                      4.72
32                      4.79
64                      4.83
128                     5.43
256                     6.66
512                    10.36
1024                   14.17
2048                   21.24
4096                   36.22
8192                   67.94
16384                 139.61
32768                 282.20
65536                 566.72
131072               1135.57
262144               2319.64
524288               4906.43
1048576              9047.15
2097152             19396.17
4194304             39597.27
8388608             79384.66
16777216           158640.65
33554432           317478.56
67108864           635466.19
