
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      21.17
16                     20.80
32                     18.82
64                     20.49
128                    18.39
256                    20.57
512                    21.71
1024                   25.55
2048                   29.24
4096                   39.84
8192                   43.20
16384                  51.25
32768                  66.59
65536                  98.58
131072                174.91
262144                323.35
524288                601.03
1048576              1160.27
2097152              3775.65
4194304             13970.82
8388608             35208.77
16777216            66299.71
33554432           128843.66
67108864           249095.32
