
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      25.52
16                     24.66
32                     24.28
64                     23.84
128                    25.38
256                    24.03
512                    29.05
1024                   26.59
2048                   28.92
4096                   49.57
8192                   53.68
16384                  81.96
32768                  67.44
65536                  88.15
131072                129.48
262144                242.86
524288                500.69
1048576              1318.60
2097152              3381.30
4194304              7563.55
8388608             16110.40
16777216            32583.26
33554432            66507.72
67108864           135325.25
