
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      25.06
16                     24.37
32                     26.74
64                     24.07
128                    24.16
256                    25.39
512                    25.54
1024                   27.10
2048                   29.34
4096                   54.39
8192                   51.75
16384                  53.20
32768                  68.23
65536                  89.22
131072                129.08
262144                209.63
524288                494.41
1048576              1281.62
2097152              3406.58
4194304              7732.83
8388608             16125.31
16777216            33284.16
33554432            67044.79
67108864           135086.10
