
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      24.98
16                     24.31
32                     23.96
64                     29.58
128                    23.94
256                    24.05
512                    25.83
1024                   29.29
2048                   29.34
4096                   48.91
8192                   54.75
16384                  54.20
32768                  71.03
65536                  91.45
131072                125.28
262144                207.05
524288                515.87
1048576              1264.92
2097152              3503.00
4194304              7714.04
8388608             16211.92
16777216            33579.26
33554432            66813.02
67108864           135048.59
