
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       5.11
16                      5.25
32                      5.59
64                      5.45
128                    11.08
256                     7.38
512                     8.41
1024                   10.94
2048                   17.35
4096                   22.67
8192                   28.87
16384                  58.23
32768                 117.13
65536                 232.36
131072                540.34
262144               1007.98
524288               2190.06
1048576              4132.94
2097152              8403.87
4194304             16909.24
8388608             34886.48
16777216            68084.11
33554432           140931.59
67108864           268275.98
