
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       9.77
16                      5.12
32                      5.14
64                      5.34
128                     6.99
256                     7.06
512                     8.61
1024                   12.66
2048                   13.54
4096                   18.91
8192                   27.49
16384                  59.06
32768                 169.15
65536                 235.48
131072                468.16
262144               1022.75
524288               2173.19
1048576              4325.49
2097152              8772.88
4194304             17337.05
8388608             35526.21
16777216            70272.17
33554432           135513.11
67108864           270535.46
