
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       5.14
16                      9.14
32                      5.28
64                      5.98
128                     6.75
256                     7.47
512                     9.16
1024                   13.22
2048                   16.12
4096                   19.30
8192                   35.92
16384                  61.07
32768                 152.33
65536                 242.91
131072                527.87
262144                979.57
524288               2028.58
1048576              4241.00
2097152              9881.80
4194304             17448.72
8388608             34896.55
16777216            70543.37
33554432           141901.85
67108864           276453.22
