
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       5.40
16                      6.82
32                      5.68
64                      8.16
128                     6.06
256                     9.18
512                     8.22
1024                   10.02
2048                   16.33
4096                   19.20
8192                   28.38
16384                  58.75
32768                 118.03
65536                 306.06
131072                490.93
262144                975.10
524288               2069.71
1048576              4339.13
2097152              8556.55
4194304             17846.73
8388608             34808.63
16777216            69590.59
33554432           138569.37
67108864           271140.78
