
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      27.76
16                     24.30
32                     23.88
64                     27.21
128                    23.85
256                    25.26
512                    26.04
1024                   26.37
2048                   30.45
4096                   50.16
8192                   59.89
16384                  53.40
32768                  69.06
65536                  90.21
131072                138.85
262144                209.62
524288                511.53
1048576              1314.43
2097152              3427.63
4194304              7683.82
8388608             15893.36
16777216            33937.60
33554432            65930.33
67108864           134792.31
