
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      24.77
16                     24.17
32                     24.82
64                     24.06
128                    24.06
256                    24.04
512                    30.21
1024                   26.43
2048                   33.70
4096                   48.88
8192                   54.76
16384                  53.76
32768                  68.35
65536                  90.58
131072                125.77
262144                247.84
524288                467.81
1048576              1406.39
2097152              3372.35
4194304              8110.16
8388608             15905.19
16777216            32605.79
33554432            66509.51
67108864           134888.74
