
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      10.19
16                      5.26
32                      8.52
64                      5.97
128                     6.15
256                     7.09
512                    11.58
1024                   15.38
2048                   13.81
4096                   19.81
8192                   27.93
16384                  60.23
32768                 118.10
65536                 282.87
131072                468.83
262144                993.15
524288               2052.04
1048576              4370.40
2097152              8687.07
4194304             17310.33
8388608             36286.72
16777216            70022.72
33554432           141022.32
67108864           275342.62
