
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      10.16
16                      5.23
32                      5.31
64                      5.47
128                     6.00
256                     7.19
512                     8.28
1024                   10.24
2048                   13.73
4096                   22.01
8192                   29.80
16384                  62.01
32768                 122.12
65536                 238.75
131072                531.66
262144               1032.87
524288               2068.12
1048576              4220.51
2097152              8670.00
4194304             17294.81
8388608             35226.72
16777216            69347.48
33554432           138374.62
67108864           272513.29
