
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      27.42
16                     27.49
32                     24.01
64                     24.25
128                    24.03
256                    23.93
512                    26.11
1024                   26.67
2048                   29.64
4096                   53.41
8192                   54.22
16384                  54.20
32768                  71.07
65536                  91.72
131072                126.60
262144                209.58
524288                515.24
1048576              1319.78
2097152              3348.69
4194304              7637.49
8388608             15776.92
16777216            32670.47
33554432            66139.41
67108864           134718.60
