
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      10.42
16                      5.43
32                      5.36
64                      5.20
128                     6.46
256                     7.37
512                     8.45
1024                   14.47
2048                   16.01
4096                   18.93
8192                   29.02
16384                  59.50
32768                 162.36
65536                 255.57
131072                485.30
262144                990.14
524288               2073.89
1048576              4705.40
2097152              8367.03
4194304             17813.28
8388608             34628.77
16777216            67880.60
33554432           133185.02
67108864           266965.03
