
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       9.70
16                      5.16
32                      7.43
64                      5.21
128                     6.11
256                     7.81
512                     8.41
1024                   14.04
2048                   13.11
4096                   20.98
8192                   29.24
16384                  60.57
32768                 119.51
65536                 277.04
131072                497.28
262144               1061.69
524288               2075.13
1048576              4110.52
2097152              8593.54
4194304             16947.35
8388608             34657.59
16777216            67882.89
33554432           136438.78
67108864           269875.77
