
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       5.61
16                      5.15
32                      5.80
64                      5.55
128                     5.95
256                     6.81
512                     8.44
1024                   10.14
2048                   13.50
4096                   19.18
8192                   27.93
16384                  60.31
32768                 119.02
65536                 273.88
131072                452.99
262144               1014.33
524288               2112.06
1048576              4079.23
2097152              8889.80
4194304             17280.50
8388608             34364.96
16777216            70220.09
33554432           135424.31
67108864           268614.71
