
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      24.46
16                     28.69
32                     26.88
64                     23.95
128                    23.72
256                    24.33
512                    25.52
1024                   26.79
2048                   29.11
4096                   49.17
8192                   52.05
16384                 100.19
32768                  68.28
65536                  88.68
131072                128.50
262144                205.71
524288                521.31
1048576              1287.31
2097152              3318.93
4194304              7983.46
8388608             15902.82
16777216            32734.22
33554432            65757.39
67108864           134476.14
