
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      28.72
16                     24.08
32                     25.78
64                     24.86
128                    26.37
256                    27.69
512                    27.89
1024                   29.34
2048                   29.32
4096                   56.10
8192                   53.18
16384                  54.18
32768                  68.13
65536                  89.20
131072                198.32
262144                214.25
524288                468.63
1048576              1356.56
2097152              3480.76
4194304              7689.03
8388608             15850.74
16777216            33253.42
33554432            66238.22
67108864           135104.15
