
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      24.21
16                     24.30
32                     24.54
64                     26.09
128                    28.54
256                    24.75
512                    27.55
1024                   29.54
2048                   29.23
4096                   52.77
8192                   55.27
16384                  80.28
32768                  68.40
65536                  94.16
131072                126.72
262144                207.81
524288                476.59
1048576              1305.85
2097152              3408.39
4194304              7999.63
8388608             15945.84
16777216            32491.13
33554432            66930.64
67108864           135284.45
