
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       9.38
16                      9.95
32                     10.71
64                     10.66
128                    16.37
256                    11.95
512                    21.41
1024                   29.39
2048                   24.98
4096                   28.50
8192                   38.62
16384                  55.08
32768                 104.54
65536                  65.06
131072                 90.74
262144                157.27
524288                282.01
1048576               593.08
2097152              2099.00
4194304              5076.67
8388608             11580.99
16777216            24200.07
33554432            50627.02
67108864           100806.45
