
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       8.73
16                     12.60
32                      9.74
64                     17.60
128                    10.77
256                    11.21
512                    18.83
1024                   20.36
2048                   22.24
4096                   25.13
8192                   31.28
16384                  37.89
32768                 176.92
65536                  70.18
131072                 97.96
262144                162.77
524288                226.21
1048576               496.14
2097152              1508.75
4194304              4670.42
8388608              9273.93
16777216            19711.40
33554432            42636.53
67108864            87180.26
