
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       8.35
16                     11.50
32                      9.43
64                     10.71
128                    10.70
256                    11.67
512                    18.57
1024                   21.10
2048                   29.53
4096                   26.36
8192                   31.78
16384                  65.58
32768                  75.97
65536                  68.35
131072                 94.61
262144                135.85
524288                206.21
1048576               397.98
2097152              1413.10
4194304              4049.23
8388608              9117.06
16777216            19707.83
33554432            43573.06
67108864            87216.20
