
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       8.38
16                      9.66
32                      9.62
64                     10.26
128                    13.97
256                    11.50
512                    18.63
1024                   21.55
2048                   22.45
4096                   25.28
8192                   39.86
16384                  41.36
32768                  50.95
65536                  71.84
131072                 94.67
262144                137.02
524288                202.81
1048576               457.52
2097152              1398.72
4194304              3975.09
8388608              9229.89
16777216            19679.06
33554432            43175.32
67108864            87359.60
