
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       8.52
16                      9.57
32                      9.55
64                     10.18
128                    10.84
256                    11.47
512                    18.91
1024                   23.34
2048                   29.95
4096                   26.82
8192                   30.71
16384                  41.71
32768                  51.13
65536                  67.79
131072                 94.41
262144                136.94
524288                204.33
1048576               445.47
2097152              1390.62
4194304              4052.44
8388608              9262.72
16777216            21082.28
33554432            43180.70
67108864            87494.21
