
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       8.82
16                     10.14
32                     10.22
64                     10.91
128                    18.49
256                    11.67
512                    23.60
1024                   23.22
2048                   32.00
4096                   28.49
8192                   43.92
16384                  54.00
32768                 100.60
65536                  64.45
131072                 88.25
262144                130.59
524288                224.82
1048576               582.95
2097152              2049.14
4194304              5215.45
8388608             11712.23
16777216            24364.91
33554432            50039.18
67108864           100887.55
