
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       8.25
16                     12.80
32                      9.52
64                     10.09
128                    10.61
256                    11.53
512                    24.83
1024                   20.57
2048                   22.83
4096                   24.35
8192                   29.75
16384                  38.29
32768                  51.60
65536                  68.43
131072                 95.15
262144                142.38
524288                283.00
1048576               372.66
2097152              1467.61
4194304              4039.63
8388608              9288.62
16777216            19733.81
33554432            43218.59
67108864            87848.35
