
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       9.23
16                     10.16
32                     10.37
64                     17.83
128                    11.27
256                    11.95
512                    23.07
1024                   24.50
2048                   27.22
4096                   29.20
8192                   36.86
16384                  54.77
32768                 102.44
65536                  65.64
131072                 88.15
262144                149.53
524288                222.89
1048576               663.89
2097152              2043.59
4194304              5174.95
8388608             11636.72
16777216            24321.36
33554432            50395.23
67108864           100553.15
