
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       8.23
16                      8.98
32                      9.78
64                     10.22
128                    20.37
256                    11.46
512                    18.61
1024                   20.82
2048                   22.36
4096                   26.53
8192                   30.34
16384                  40.95
32768                  50.58
65536                  75.32
131072                 94.39
262144                136.59
524288                216.09
1048576               395.46
2097152              1394.66
4194304              3805.18
8388608              9381.14
16777216            20001.17
33554432            42958.27
67108864            87914.68
