
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       8.53
16                      9.24
32                      9.48
64                     15.84
128                    10.65
256                    11.47
512                    18.81
1024                   21.99
2048                   27.61
4096                   26.04
8192                   42.97
16384                  38.40
32768                  50.64
65536                  70.82
131072                 95.01
262144                138.56
524288                297.35
1048576               388.65
2097152              1480.51
4194304              4056.09
8388608              9236.54
16777216            19923.50
33554432            43640.74
67108864            87609.02
