
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       8.42
16                      9.59
32                     10.17
64                     10.33
128                    10.65
256                    11.24
512                    20.15
1024                   26.87
2048                   22.35
4096                   24.91
8192                   35.25
16384                  39.08
32768                  51.97
65536                  75.00
131072                 96.51
262144                143.87
524288                289.14
1048576               361.94
2097152              1404.11
4194304              4075.70
8388608              9480.80
16777216            19593.46
33554432            43493.04
67108864            87059.21
