
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       9.05
16                     10.64
32                     10.22
64                     10.93
128                    11.19
256                    14.05
512                    22.61
1024                   23.30
2048                   27.46
4096                   27.84
8192                   36.73
16384                  55.46
32768                 109.22
65536                  64.80
131072                 91.02
262144                132.17
524288                229.83
1048576               643.99
2097152              2061.99
4194304              5151.78
8388608             11456.04
16777216            24388.23
33554432            50500.51
67108864           100804.72
