
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       8.98
16                      9.99
32                     17.61
64                     10.49
128                    11.51
256                    11.81
512                    21.70
1024                   23.94
2048                   24.90
4096                   34.34
8192                   36.37
16384                  54.36
32768                 103.50
65536                  67.48
131072                 96.49
262144                130.85
524288                234.15
1048576               568.32
2097152              1991.85
4194304              5254.02
8388608             12063.30
16777216            24551.87
33554432            50022.76
67108864           100508.39
