
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       8.13
16                      9.25
32                      9.64
64                     10.49
128                    10.78
256                    13.87
512                    18.31
1024                   20.93
2048                   28.91
4096                   25.93
8192                   38.52
16384                  40.39
32768                  50.56
65536                  79.94
131072                 95.46
262144                168.29
524288                204.18
1048576               475.58
2097152              1408.89
4194304              3955.94
8388608              9145.57
16777216            19635.32
33554432            43288.69
67108864            87580.54
