
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       8.69
16                     10.13
32                     10.34
64                     10.57
128                    13.96
256                    12.54
512                    21.39
1024                   23.55
2048                   31.95
4096                   28.34
8192                   37.23
16384                  54.47
32768                 101.37
65536                  68.26
131072                 87.44
262144                128.89
524288                306.50
1048576               581.64
2097152              2052.16
4194304              5149.33
8388608             11753.54
16777216            24291.33
33554432            51543.00
67108864           100724.29
