
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       8.73
16                     12.94
32                     10.13
64                     11.46
128                    11.22
256                    12.76
512                    21.77
1024                   24.99
2048                   31.98
4096                   28.86
8192                   44.87
16384                  54.87
32768                 101.46
65536                  64.98
131072                 87.30
262144                133.25
524288                230.71
1048576               588.52
2097152              1984.89
4194304              5099.21
8388608             11773.18
16777216            24708.54
33554432            49834.17
67108864           100703.80
