
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       8.90
16                     12.75
32                     13.35
64                     10.74
128                    18.17
256                    11.72
512                    21.10
1024                   26.46
2048                   26.33
4096                   28.07
8192                   39.51
16384                  54.53
32768                  99.21
65536                  68.71
131072                 87.82
262144                132.11
524288                224.23
1048576               559.51
2097152              1936.18
4194304              5122.14
8388608             11768.09
16777216            24225.64
33554432            50208.86
67108864           100634.88
