
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      11.83
16                     10.91
32                     10.37
64                     10.54
128                    11.11
256                    12.38
512                    23.75
1024                   23.74
2048                   26.61
4096                   31.95
8192                   36.97
16384                  56.13
32768                 107.89
65536                  64.66
131072                 88.58
262144                132.63
524288                225.05
1048576               567.33
2097152              2081.26
4194304              5144.35
8388608             11892.98
16777216            24220.27
33554432            50533.40
67108864           100687.26
